id,predicted_price
2591820310,265591.25
7974200820,448285.3
7701450110,716078.44
9522300010,1065528.6
9510861140,456134.97
1761300310,194996.92
7732410120,511972.7
7010701383,322290.7
291310170,258277.05
4232901990,361687.34
6840701125,399224.47
3971700580,299196.75
4202400078,208475.08
6064800090,288818.97
2626119028,187096.16
3303980660,702701.2
862000020,394607.97
2386000070,586016.56
1138000450,254519.8
1775800420,307364.16
2291401425,302111.03
2025770560,623188.3
3525069037,413148.3
9324800450,466116.34
8080400136,324567.03
8651540040,336178.62
9407001790,187207.89
1773101530,166977.67
9432900250,203801.94
1794500695,420565.53
2220069003,286697.1
923000120,324791.2
5728000060,391404.94
16000200,197687.25
1926059094,389786.06
6672900220,555939.44
3629860060,580905.2
1822069109,302465.03
6675500105,268563.12
249000180,847760.3
226059065,274554.1
396100110,197618.27
9264450460,196120.39
7853361210,281059.1
9474700020,191642.3
421000455,191928.0
3755200220,281639.2
7960100075,288984.28
9477100490,288021.84
9138100350,503558.66
1624049275,254488.25
2770606890,260322.11
1157200189,300168.47
2770601800,279352.06
9301300805,303037.88
2325069032,763932.5
1021079099,260823.1
7215730040,490876.8
1853200080,384407.4
3224600340,447260.44
3222049120,266834.75
2113700025,233763.64
7893207925,139790.33
3586501085,349282.6
8024200010,295742.6
7116500705,129710.43
1598600209,217100.5
7204200025,503949.72
4206901505,353068.34
2937300440,541436.25
7205000180,213206.56
8718500665,287470.25
5318101765,479716.94
4122700020,528878.75
8078700020,324420.94
3303980680,669555.94
8924100372,647787.2
2781270210,159534.9
519000043,314350.78
3225069301,845612.44
151000075,490108.72
2297400020,298631.2
6617500085,415262.44
104510180,160263.83
3528900060,579192.56
3345100286,350665.7
1226039130,319305.97
8712100720,447981.03
3037200010,283074.44
3626039268,284829.75
104510230,166314.95
5112800060,295270.25
6072400280,409123.9
5317100570,556790.5
9528102993,305409.4
2919201095,316300.03
6181400920,191278.58
185000161,194693.66
8691400010,518984.75
3345700165,358689.97
6151800486,155457.48
4340000080,679016.3
4136960010,355117.44
3634100030,250085.38
1624059224,697653.06
2788400090,209509.9
9828200762,304277.3
7524400250,358380.16
3528000290,477131.78
5700003630,1066183.2
2720069019,189109.97
7227501170,180005.81
2397101270,389992.78
6792100090,461493.25
2770602265,363629.7
3971700937,209023.73
422049203,157952.89
3076500830,180048.73
1423400260,216747.98
9161100795,315017.03
3126049052,336133.12
5100401468,231551.52
514500235,289800.66
1423200170,157468.28
1402100070,270624.6
624110020,510923.03
2407000145,168479.69
1890000225,496066.66
1320069271,182887.25
5490700085,258513.12
263000155,305175.3
3726800201,289175.6
5153200358,199366.98
2725079018,394949.84
7165700200,215601.31
9429000170,410564.62
8718500075,307233.47
1760650950,223147.3
1068000559,633504.56
4113800500,446070.28
4077800507,372073.34
2725069150,505874.84
4008400035,421072.8
7016310270,332280.4
1432701230,177312.44
3278606050,289467.53
2473350710,280862.4
2185000685,155685.97
7792000025,201431.4
6868200029,329357.7
624069003,449211.44
7431500280,551301.75
3296000040,442653.78
1118001215,661156.06
6453900040,522028.66
333100209,447138.47
34001765,409320.62
8946700100,265311.75
5561401210,414500.4
6671900095,251713.89
3275850020,457951.66
3876300600,273299.12
1450900020,200222.12
8562780280,225727.31
7663700973,250613.97
2126049032,265185.78
1823059159,162843.84
3438503426,211225.62
9297301495,382252.0
7140700850,273672.1
7942601805,471760.12
2555900030,230853.44
2887970040,213711.42
7419700010,397191.25
2239000011,285402.94
9283800050,219412.58
9407001340,199636.78
217500140,391903.97
7212660520,166268.33
3298201170,230092.05
3057000400,219101.84
6865200444,325262.97
6071600340,353968.53
6821600005,405720.25
1235100371,513838.28
7796450340,228704.61
3603000410,127036.95
9297300255,370217.94
9126100850,301195.06
2770601462,330975.5
2599001500,153202.7
1102000095,435569.2
1853080640,659267.2
9551201585,620106.7
3438500796,231031.83
7518504291,323515.7
9269200340,268698.9
715010130,1040220.5
1982201485,355464.4
9526500080,310302.94
9277200180,283591.62
6669150280,237376.06
8917100153,401200.0
3760500516,669194.6
2725069050,596317.75
3332000091,213433.6
8562770080,350760.7
8151601190,195482.89
8563040160,415150.78
240000269,560283.7
4307350200,257956.06
1311910300,188818.75
3574900030,387672.94
7853230570,303261.62
320069049,272065.44
9839301060,435921.6
7011201333,434233.7
2781320100,171563.95
3421069120,267441.1
7852030320,342405.34
5316101075,878573.6
5309100750,316218.0
629000730,387715.1
511700170,234827.67
1562100030,421309.0
2489200230,374088.6
524069116,317825.8
